Architecture,On Campus,"151,187","231,640","382,827","895,165","3,783,800","3,194,387","589,414"
Architecture,Off Campus,-,"7,725","7,725","8,759",-,"13,461","-13,461"
Architecture,Total,"151,187","239,365","390,552","903,924","3,783,800","3,207,848","575,953"
Media Laboratory,On Campus,"2,182,507","3,304,529","5,487,036","18,649,327","69,811,192","46,427,488","23,383,704"
Media Laboratory,Off Campus,-,"53,997","53,997","76,149",-,"195,485","-195,485"
Media Laboratory,Total,"2,182,507","3,358,526","5,541,033","18,725,476","69,811,192","46,622,973","23,188,219"
School of Arch. & Planning,On Campus,"27,137",-,"27,137","89,505","200,000","93,354","106,646"
Urban Studies & Planning,On Campus,"405,079","955,020","1,360,099","4,258,231","13,404,691","12,316,741","1,087,950"
Urban Studies & Planning,Off Campus,"2,479",-,"2,479","8,346","68,347","292,862","-47,514"
Urban Studies & Planning,Total,"407,558","955,020","1,362,578","4,266,577","13,473,038","12,609,603","1,040,436"
On Campus Salary Total,,"2,765,910","4,491,189","7,257,099",,,,
Off Campus Salary Total,,"2,479","61,722","64,201",,,,
School of Architecture Totals,,"2,768,389","4,552,911","7,321,300","23,985,482","87,268,030","62,533,778","24,911,254"
Aeronautics & Astronautics,On Campus,"3,019,788","3,078,853","6,098,641","19,942,539","86,185,179","74,617,660","11,567,519"
Aeronautics & Astronautics,Off Campus,"58,984","201,208","260,192","321,041","3,315,767","1,118,483","2,197,284"
Aeronautics & Astronautics,Total,"3,078,772","3,280,061","6,358,833","20,263,580","89,500,946","75,736,143","13,764,803"
Artificial Intelligence Lab,On Campus,-,-,-,-,"675,568","675,568",-
Biological Engineering Division,On Campus,"1,483,802","4,918,092","6,401,894","33,185,754","117,009,871","100,425,714","16,584,157"
Biological Engineering Division,Off Campus,"12,375","33,150","45,525","59,599","6,328,769","122,203","6,206,566"
Biological Engineering Division,Total,"1,496,177","4,951,242","6,447,419","33,245,353","123,338,640","100,547,917","22,790,723"
Biotechnology Process Engineering Center,On Campus,"-6,171","18,962","12,791","819,910","1,532,563","1,552,169","-19,606"
Biotechnology Process Engineering Center,Off Campus,-,-,-,,,-,-
Biotechnology Process Engineering Center,Total,"-6,171","18,962","12,791","819,910","1,532,563","1,552,169","-19,606"
Center for Transportation and Logistics,On Campus,"279,716","1,852,792","2,132,508","8,021,861","68,923,177","34,469,341","34,453,836"
Center for Transportation and Logistics,Off Campus,"23,934","1,688","25,622","40,082","461,096","559,038","-97,942"
Center for Transportation and Logistics,Total,"303,650","1,854,480","2,158,130","8,061,943","69,384,273","35,028,379","34,355,894"
Chemical Engineering,On Campus,"2,004,705","4,301,680","6,306,385","21,124,141","167,230,506","141,276,879","25,953,627"
Chemical Engineering,Off Campus,"12,825","8,450","21,275","24,504","575,540","258,203","317,337"
Chemical Engineering,Total,"2,017,530","4,310,130","6,327,660","21,148,645","167,806,046","141,535,082","26,270,964"
Civil & Environmental Engineering,On Campus,"2,162,691","2,112,344","4,275,035","10,658,818","52,739,806","45,011,849","7,727,957"
Civil & Environmental Engineering,Off Campus,"21,881","103,314","125,195","174,929","1,962,948","526,221","1,436,727"
Civil & Environmental Engineering,Total,"2,184,572","2,215,658","4,400,230","10,833,747","54,702,754","45,538,070","9,164,684"
Computer Science/Artificial Intelligence Lab,On Campus,"6,962,229","11,962,206","18,924,435","60,600,228","290,169,124","259,409,179","30,759,945"
Computer Science/Artificial Intelligence Lab,Off Campus,-,"181,712","181,712","249,044","31,683,340","1,121,383","30,561,957"
Computer Science/Artificial Intelligence Lab,Total,"6,962,229","12,143,918","19,106,147","60,849,272","321,852,464","260,530,562","61,321,902"
Dean/School of Engineering,On Campus,"22,059",-,"22,059","56,017","4,903","172,709","-167,806"
Department Heads Engineering,On Campus,-,-,-,-,"2,663,821","2,663,821",-
Deshpande Ctr for Technological Innov,On Campus,-,"205,845","205,845","302,156","1,550,475","1,190,477","359,998"
Electrical Engineering/Computer Science,On Campus,"6,847","135,242","142,089","510,454","1,626,867","1,401,242","225,625"
Engineering Systems Division,On Campus,"335,303","820,673","1,155,976","3,102,273","17,937,432","8,190,342","9,747,090"
Engineering Systems Division,Off Campus,-,-,-,-,-,"127,114","-127,114"
Engineering Systems Division,Total,"335,303","820,673","1,155,976","3,102,273","17,937,432","8,317,456","9,619,976"
Institue for Medical Eng. and Scicence,On Campus,"152,548","1,834,798","1,987,346","8,123,608","29,714,825","24,639,809","5,075,016"
Institue for Medical Eng. and Scicence,Off Campus,"10,524","3,447","13,971","17,616","125,540","65,159","60,381"
Institue for Medical Eng. and Scicence,Total,"163,072","1,838,245","2,001,317","8,141,224","29,840,365","24,704,968","5,135,397"
Lab for Computer Science,On Campus,-,-,-,-,"2,367,509","2,367,509",-
Lab for Info/Decision Systems,On Campus,"1,479,439","1,332,793","2,812,232","7,414,091","30,927,400","25,710,797","5,216,603"
Lab for Info/Decision Systems,Off Campus,"2,664",-,"2,664","2,797","493,921","35,870","458,051"
Lab for Info/Decision Systems,Total,"1,482,103","1,332,793","2,814,896","7,416,888","31,421,321","25,746,667","5,674,654"
Lab for Manufacturing/Productivity,On Campus,"972,783","1,192,170","2,164,953","6,714,427","37,236,779","33,510,438","3,726,341"
