Architecture,On Campus,"$ 203,403","$ 130,366","$ 333,769","$ 1,253,542","$ 4,526,689","$ 3,085,972","$ 1,440,717"
Sea Grant College Program,On Campus,"352,881","1,169,123","1,522,004",,,,
Sea Grant College Program,Off Campus,-,"292,069","292,069",,,,
Sea Grant College Program,Total,"352,881","1,461,192","1,814,073","5,223,022","31,894,769","28,093,043","3,801,727"
VP for Research,On Campus,"56,011","30,622","86,633","203,152","24,064,310","1,573,122","22,491,187"
On Campus Salary Total,,"14,767,294","40,718,908","55,486,202",,,,
Center for Advan Educational Services,On Campus,-,"38,715","38,715",,,,
Center for Advan Educational Services,Off Campus,-,"10,876","10,876",,,,
Center for Advan Educational Services,Total,-,"49,591","49,591","113,171","1,040,946","1,273,676","(232,730)"
Chancellor's Office,On Campus,"69,739","57,858","127,597",,,,
Chancellor's Office,Off Campus,"12,300",-,"12,300",,,,
Chancellor's Office,Total,"82,039","57,858","139,897","419,570","747,387","638,099","109,288"
Dept of MASDAR,On Campus,"785,337","1,762,679","2,548,016","6,905,790","34,569,560","24,936,173","9,633,387"
Dept of MIT-SUTD,On Campus,"342,677","489,320","831,997","2,393,911","6,478,298","4,503,904","1,974,395"
Dept of SKOLKOVO,On Campus,-,"2,319","2,319","33,479","7,365,348","33,479","7,331,869"
Edgerton Center,On Campus,-,"8,193","8,193","24,607","25,050","26,338","(1,288)"
Libraries,On Campus,-,"14,417","14,417",,,,
Libraries,Off Campus,-,"9,545","9,545",,,,
Libraries,Total,-,"23,962","23,962","339,170","914,295","891,864","22,431"
McGovern Institute for Brain Research,On Campus,"177,459","4,186,098","4,363,557","14,758,114","65,983,123","54,151,038","11,832,085"
On Campus Salary Total,,"1,375,212","6,559,599","7,934,811",,,,
Off Campus Salary Total,,"12,300","20,421","32,721",,,,
Other Departments and Special Labs Totals,,"1,387,512","6,580,020","7,967,532","24,987,812","117,124,007","86,454,571","30,669,437"
,,,,,,,,
On Campus Salary Total,,"$ 54,413,055","$ 137,415,879","$ 191,828,934",,,,
Off Campus Salary Total,,"$ 1,227,072","$ 14,057,866","$ 15,284,938",,,,
Grand Total,,"$ 55,640,127","$ 151,473,745","$ 207,113,872","$ 681,079,310","$ 3,972,309,979","$ 3,341,442,741","$ 630,867,240"
