Architecture,On Campus,"157,970","199,247","357,217","1,135,593","4,557,631","2,561,124","1,996,507"
Media Laboratory,On Campus,"1,990,886","3,333,538","5,324,424",,,,
Media Laboratory,Off Campus,-,"112,687","112,687",,,,
Media Laboratory,Total,"1,990,886","3,446,225","5,437,111","20,230,963","187,823,385","170,481,073","17,342,312"
School of Arch. & Planning,On Campus,-,"109,578","109,578","261,121","1,163,963","371,763","792,201"
Urban Studies & Planning,On Campus,"159,455","960,793","1,120,248",,,,
Urban Studies & Planning,Off Campus,"1,095","46,297","47,392",,,,
Urban Studies & Planning,Total,"160,550","1,007,090","1,167,640","3,659,937","8,495,825","5,798,117","2,697,708"
On Campus Salary Total,,"2,308,311","4,603,156","6,911,467",,,,
Off Campus Salary Total,,"1,095","158,984","160,079",,,,
School of Architecture Totals,,"2,309,406","4,762,140","7,071,546","25,287,614","202,040,804","179,212,077","22,828,728"
Aeronautics & Astronautics,On Campus,"2,816,671","2,839,393","5,656,064",,,,
Aeronautics & Astronautics,Off Campus,"106,604","94,465","201,069",,,,
Aeronautics & Astronautics,Total,"2,923,275","2,933,858","5,857,133","18,154,040","83,777,222","69,277,786","14,499,436"
Biotechnology Process Engineering Center,On Campus,"-3,471","96,350","92,879","890,004","6,018,719","5,340,910","677,809"
"Center for Tech, Policy & Ind Development",On Campus,"342,295","1,629,113","1,971,408","6,222,468","58,657,181","53,508,836","5,148,345"
Center for Transportation and Logistics,On Campus,"274,753","1,579,783","1,854,536",,,,
Center for Transportation and Logistics,Off Campus,-,"23,464","23,464",,,,
Center for Transportation and Logistics,Total,"274,753","1,603,247","1,878,000","7,561,954","57,260,863","31,085,913","26,174,950"
Chemical Engineering,On Campus,"2,361,658","5,104,783","7,466,441",,,,
Chemical Engineering,Off Campus,"7,191","9,606","16,797",,,,
Chemical Engineering,Total,"2,368,849","5,114,389","7,483,238","28,982,623","139,992,540","109,966,092","30,026,448"
Civil & Environmental Engineering,On Campus,"1,286,048","1,673,580","2,959,628",,,,
Civil & Environmental Engineering,Off Campus,"54,168","33,410","87,578",,,,
Civil & Environmental Engineering,Total,"1,340,216","1,706,990","3,047,206","8,820,135","36,153,713","28,587,766","7,565,947"
Computer Science/Artificial Intelligence Lab,On Campus,"5,461,894","8,997,612","14,459,506",,,,
Computer Science/Artificial Intelligence Lab,Off Campus,"4,600","199,643","204,243",,,,
Computer Science/Artificial Intelligence Lab,Total,"5,466,494","9,197,255","14,663,749","43,352,118","260,368,470","214,055,208","46,313,262"
Dean/School of Engineering,On Campus,"20,974",-,"20,974","38,042",136,"61,164","-61,028"
Department of Biological Engineering,On Campus,"425,036","1,734,199","2,159,235",,,,
Department of Biological Engineering,Off Campus,"28,800","23,090","51,890",,,,
Department of Biological Engineering,Total,"453,836","1,757,289","2,211,125","12,864,089","52,525,439","38,934,318","13,591,121"
Deshpande Ctr for Technological Innov,On Campus,-,"216,329","216,329","311,980","2,703,505","3,162,004","-458,499"
Electrical Engineering/Computer Science,On Campus,"84,650","110,267","194,917","846,316","3,458,163","2,789,951","668,212"
Engineering Systems Division,On Campus,"139,733","222,013","361,746",,,,
Engineering Systems Division,Off Campus,-,"24,750","24,750",,,,
