Lab for Manufacturing/Productivity,Total,"853,458","915,674","1,769,132","6,207,446","39,091,363","34,854,989","4,236,373"
Leaders for Manufacturing Program,On Campus,-,-,-,-,"625,000","625,000",-
Materials Processing Center,On Campus,"1,625,710","2,832,963","4,458,673","16,814,940","79,282,991","68,909,789","10,373,202"
Materials Processing Center,Off Campus,"53,016","36,246","89,262","104,778","654,710","400,773","253,938"
Materials Processing Center,Total,"1,678,726","2,869,210","4,547,935","16,919,718","79,937,701","69,310,561","10,627,140"
Materials Science & Engineering,On Campus,"1,492,766","2,233,978","3,726,745","11,448,340","68,192,081","59,730,926","8,461,155"
Materials Science & Engineering,Off Campus,-,"2,982","2,982","4,348",-,"363,954","-363,954"
Materials Science & Engineering,Total,"1,492,766","2,236,961","3,729,727","11,452,688","68,192,081","60,094,880","8,097,201"
Mechanical Engineering,On Campus,"5,607,865","6,446,578","12,054,443","36,439,978","166,993,859","145,802,088","21,191,771"
Mechanical Engineering,Off Campus,"49,043","249,438","298,480","402,120","2,961,994","1,502,884","1,459,110"
Mechanical Engineering,Total,"5,656,908","6,696,016","12,352,924","36,842,098","169,955,853","147,304,971","22,650,881"
Microsystems Technology Lab,On Campus,"965,119","1,324,785","2,289,904","11,783,813","55,603,669","48,668,666","6,935,002"
Microsystems Technology Lab,OffCampus,-,-,-,-,-,608,-608
Microsystems Technology Lab,Total,"965,119","1,324,785","2,289,904","11,783,813","55,603,669","48,669,274","6,934,394"
MIT-Portugal Program,On Campus,"168,749","221,793","390,543","935,577","28,067,863","21,434,583","6,633,280"
MIT-Portugal Program,Off Campus,-,-,-,-,"734,756","81,592","653,164"
MIT-Portugal Program,Total,"168,749","221,793","390,543","935,577","28,802,619","21,516,175","7,286,444"
Nuclear Science and  Engineering,On Campus,"1,041,930","1,291,415","2,333,346","6,597,213","20,078,413","18,034,904","2,043,508"
Nuclear Science and  Engineering,Off Campus,"70,890",-,"70,890","78,579","4,550,396","319,973","4,230,423"
Nuclear Science and  Engineering,Total,"1,112,821","1,291,415","2,404,236","6,675,792","24,628,808","18,354,877","6,273,931"
Singapore/MIT Alliance,On Campus,-,-,-,"89,844","2,960,792","2,195,028","765,764"
SOE Special Programs,On Campus,-,"30,046","30,046","58,376","79,904","58,376","21,528"
On Campus Salary Total,,"29,962,204","48,451,492","78,413,696",,,,
Off Campus Salary Total,,"442,958","893,902","1,336,857",,,,
School of Engineering Totals,,"30,405,162","49,345,394","79,750,556","264,698,776","1,379,684,814","1,134,706,672","244,978,138"
Center for International Studies,On Campus,"60,989","257,234","318,223","614,498","1,827,739","1,837,438","-9,700"
Center for International Studies,Off Campus,-,-,-,-,"349,839","14,280","335,558"
Center for International Studies,Total,"60,989","257,234","318,223","614,498","2,177,577","1,851,719","325,859"
Department of Humanities,On Campus,"46,888","251,931","298,819","1,194,133","15,548,029","14,270,744","1,277,115"
Department of Humanities,Off Campus,-,"68,500","68,500","184,998","1,199,993","559,623","640,370"
Department of Humanities,Total,"46,888","320,431","367,319","1,379,131","16,748,022","14,830,367","1,917,485"
Economics,On Campus,"103,296","908,782","1,012,078","5,177,764","23,681,339","13,088,020","10,593,319"
Economics,Off Campus,-,"78,048","78,048","254,929","479,971","546,299","-66,328"
Economics,Total,"103,296","986,830","1,090,126","5,432,693","24,161,310","13,634,319","10,526,991"
Political Science,On Campus,"125,394","586,773","712,167","2,299,854","8,484,052","6,754,126","1,729,926"
Political Science,Off Campus,-,384,384,413,-,413,-413
Political Science,Total,"125,394","587,157","712,551","2,300,267","8,484,052","6,754,539","1,729,513"
"Program in Science, Technology & Society",On Campus,-,"17,311","17,311","124,797","1,026,464","979,173","47,291"
On Campus Salary Total,,"336,567","2,022,031","2,358,598",,,,
Off Campus Salary Total,,-,"146,932","146,932",,,,
"Humanities, Arts, and Social Sciences Totals",,"336,567","2,168,963","2,505,530","9,851,386","52,597,425","38,050,117","14,547,139"
Ctr Comp Res in Econ & Mgt Sci,On Campus,-,-,-,-,-,-,-
Profit & TDQM,On Campus,-,-,-,-,"93,966","87,878","6,087"
Sloan School of Management - Academic,On Campus,-,"45,828","45,828","98,645","357,291","207,046","150,245"
SSM Division of Research,On Campus,"465,870","2,986,445","3,452,315","9,532,633","106,532,954","98,070,882","8,462,072"
SSM Division of Research,Off Campus,"30,698","102,810","133,509","181,054","257,181","2,093,384","-1,836,203"
SSM Division of Research,Total,"496,569","3,089,255","3,585,824","9,713,687","106,790,134","100,164,266","6,625,868"
Systems Dynamics Group,On Campus,-,-,-,-,-,-,-
On Campus Salary Total,,"465,870","3,032,273","3,498,143",,,,
Off Campus Salary Total,,"30,698","102,810","133,509",,,,
Sloan School of Management Totals,,"496,568","3,135,083","3,631,652","9,812,332","107,241,391","100,459,190","6,782,200"
Biology,On Campus,"1,001,215","3,805,923","4,807,138","18,294,566","91,925,115","81,685,844","10,239,272"
Brain & Cognitive Sciences,On Campus,"123,136","1,298,181","1,421,317","5,540,586","32,116,747","26,805,835","5,310,912"
Brain & Cognitive Sciences,Off Campus,-,-,-,"134,654","603,089","566,881","36,208"
Brain & Cognitive Sciences,Total,"123,136","1,298,181","1,421,317","5,675,240","32,719,836","27,372,716","5,347,120"
Center for Global Change Science,On Campus,"409,077","1,724,440","2,133,517","6,308,476","36,207,872","32,513,316","3,694,556"
Center for Global Change Science,Off Campus,"29,181","116,028","145,209","193,976","3,571,781","674,426","2,897,355"
Center for Global Change Science,Total,"438,258","1,840,468","2,278,726","6,502,452","39,779,653","33,187,742","6,591,911"
Chemistry,On Campus,"2,101,982","3,388,883","5,490,864","18,926,773","96,763,885","80,853,550","15,910,334"
"Earth, Atmospheric & Planetary Sciences",On Campus,"1,218,340","3,752,404","4,970,743","16,476,817","75,553,105","58,696,853","16,856,252"
"Earth, Atmospheric & Planetary Sciences",Off Campus,"25,830","810,413","836,243","1,242,885","8,204,170","5,420,039","2,784,131"
"Earth, Atmospheric & Planetary Sciences",Total,"1,244,170","4,562,816","5,806,986","17,719,702","83,757,275","64,116,892","19,640,383"
Kavli Inst for Astrophysics & Space Rsrh,On Campus,"559,884","5,105,328","5,665,212","15,330,604","95,924,672","83,029,176","12,895,496"
Kavli Inst for Astrophysics & Space Rsrh,Off Campus,-,"254,730","254,730","366,240","590,902","1,862,602","-1,271,700"
Kavli Inst for Astrophysics & Space Rsrh,Total,"559,884","5,360,058","5,919,942","15,696,844","96,515,574","84,891,778","11,623,797"
Laboratory for Nuclear Science,On Campus,"668,729","3,699,359","4,368,088","11,793,175","247,992,733","243,045,122","4,947,611"
Laboratory for Nuclear Science,Off Campus,"485,995","3,787,625","4,273,621","8,479,835","97,073,511","93,143,809","3,929,703"
Laboratory for Nuclear Science,Total,"1,154,725","7,486,984","8,641,709","20,273,010","345,066,244","336,188,931","8,877,314"
Mathematics,On Campus,"535,821","1,395,053","1,930,874","5,363,019","22,781,121","17,560,209","5,220,912"
Mathematics,Off Campus,-,"147,778","147,778","196,321","4,711,838","1,789,243","2,922,595"
Mathematics,Total,"535,821","1,542,831","2,078,652","5,559,340","27,492,959","19,349,452","8,143,507"
Physics,On Campus,"21,376","45,234","66,610","469,428","1,421,736","567,696","854,039"
Physics,Off Campus,-,"19,340","19,340","22,244",-,"55,658","-55,658"
Physics,Total,"21,376","64,573","85,950","491,672","1,421,736","623,354","798,382"
Picower Institute for Learning and Memory,On Campus,"172,393","3,801,882","3,974,276","18,158,376","60,399,478","46,269,585","14,129,893"
Picower Institute for Learning and Memory,Off Campus,-,-,-,"19,898","200,000","20,078","179,922"
Picower Institute for Learning and Memory,Total,"172,393","3,801,882","3,974,276","18,178,274","60,599,478","46,289,663","14,309,815"
School of Science,On Campus,"23,733","22,095","45,828","285,013","1,855,020","1,550,650","304,370"
Simons Center,On Campus,"23,188","764,269","787,458","4,102,127","16,768,011","8,202,172","8,565,839"
Spectroscopy Lab,On Campus,-,-,-,-,"600,138","600,138",-
On Campus Salary Total,,"6,858,874","28,803,051","35,661,925",,,,
Off Campus Salary Total,,"541,006","5,135,914","5,676,921",,,,
School of Science Totals,,"7,399,880","33,938,965","41,338,846","131,705,013","895,264,924","784,912,882","110,352,044"
Ctr for Environmental Health Sciences,On Campus,"191,859","2,408,087","2,599,946","8,531,391","36,966,638","35,620,114","1,346,524"
Ctr for Environmental Health Sciences,Off Campus,-,-,-,-,-,"343,239","-343,239"
Ctr for Environmental Health Sciences,Total,"191,859","2,408,087","2,599,946","8,531,391","36,966,638","35,963,353","1,003,285"
Division of Comparative Medicine,On Campus,"1,325","461,374","462,699","2,942,286","7,596,968","6,220,377","1,376,591"
Harvard-MIT Health Science & Tech,On Campus,-,-,-,"72,673","13,190,450","13,020,128","170,322"
Harvard-MIT Health Science & Tech,Off Campus,-,-,-,-,"133,405","104,410","28,995"
Harvard-MIT Health Science & Tech,Total,-,-,-,"72,673","13,323,855","13,124,538","199,317"
On Campus Salary Total,,"193,184","2,869,461","3,062,645",,,,
Whitaker College Totals,,"193,184","2,869,461","3,062,645","11,546,350","57,887,461","55,308,268","2,579,193"
Ctr for Biomedical Engineering,On Campus,"6,479","11,170","17,649","89,226","6,979,363","6,960,255","19,108"
Ctr for Biomedical Engineering,Off Campus,0,0,0,0,0,"19,108","-19,108"
Ctr for Biomedical Engineering,Total,"6,479","11,170","17,649","89,226","6,979,363","6,979,363",0
Center for Materials Science & Eng,On Campus,"456,652","582,237","1,038,889","3,654,619","21,047,629","16,120,889","4,926,740"
Earth System Initiative,On Campus,"803,391","1,386,376","2,189,767","7,414,807","39,286,105","32,710,122","6,575,983"
Earth System Initiative,Off Campus,0,"289,679","289,679","403,681","991,496","871,191","120,305"
Earth System Initiative,Total,"803,391","1,676,055","2,479,446","7,818,488","40,277,601","33,581,313","6,696,288"
Francis Bitter Magnet Laboratory,On Campus,"239,099","1,644,225","1,883,325","6,133,924","27,048,993","21,869,246","5,179,747"
Haystack Observatory,On Campus,0,"6,323","6,323","241,376","4,980,610","940,911","4,039,699"
Haystack Observatory,Off Campus,0,"5,048,834","5,048,834","9,103,381","37,286,009","34,493,565","2,792,444"
Haystack Observatory,Total,0,"5,055,156","5,055,156","9,344,757","42,266,619","35,434,475","6,832,143"
Institute for Soldier Nanotechnologies,On Campus,"1,579,103","2,493,751","4,072,855","14,596,637","87,341,130","78,602,683","8,738,447"
Institute for Soldier Nanotechnologies,Off Campus,0,"11,745","11,745","16,583","1,174,122","230,437","943,685"
Institute for Soldier Nanotechnologies,Total,"1,579,103","2,505,496","4,084,600","14,613,221","88,515,252","78,833,120","9,682,132"
Koch Institute for Integrative Cancer Research,On Campus,"1,563,456","6,637,287","8,200,743","34,835,253","127,089,628","105,670,977","21,418,651"
Koch Institute for Integrative Cancer Research,Off Campus,"3,881",0,3881,"4,246","200,147","264,401","-64,254"
Koch Institute for Integrative Cancer Research,Total,"1,567,338","6,637,287","8,204,625","34,839,499","127,289,774","105,935,378","21,354,397"
MIT Energy Initiative,On Campus,"3,379,495","7,948,102","11,327,596","32,003,974","162,640,110","133,122,808","29,517,302"
MIT Energy Initiative,Off Campus,"5,148","139,464","144,612","194,278","1,385,606","697,584","688,022"
MIT Energy Initiative,Total,"3,384,643","8,087,566","11,472,208","32,198,252","164,025,716","133,820,391","30,205,324"
Nuclear Reactor Laboratory,On Campus,"122,321","905,233","1,027,554","4,398,769","14,410,918","9,016,684","5,394,233"
Operations Research Center,On Campus,"212,339","96,749","309,088","819,311","11,326,357","9,659,469","1,666,887"
Plasma Science & Fusion Center,On Campus,"1,069,319","9,827,700","10,897,018","27,559,452","450,637,080","439,239,407","11,397,673"
Plasma Science & Fusion Center,Off Campus,"121,060","766,296","887,355","1,870,827","15,199,180","16,494,999","-1,295,819"
Plasma Science & Fusion Center,Total,"1,190,378","10,593,995","11,784,374","29,430,279","465,836,260","455,734,407","10,101,853"
Research Lab of Electronics,On Campus,"5,141,602","7,965,126","13,106,728","50,126,103","189,705,834","156,471,483","33,234,351"
Research Lab of Electronics,Off Campus,0,"258,293","258,293","371,868","5,740,571","1,485,773","4,254,798"
Research Lab of Electronics,Total,"5,141,602","8,223,419","13,365,021","50,497,971","195,446,405","157,957,256","37,489,149"
Sea Grant College Program,On Campus,"321,380","1,137,910","1,459,290","4,974,355","21,307,310","18,695,566","2,611,744"
Sea Grant College Program,Off Campus,0,"197,073","197,073","261,708","1,003,669","1,079,861","-76,191"
Sea Grant College Program,Total,"321,380","1,334,983","1,656,363","5,236,063","22,310,979","19,775,427","2,535,553"
VP for Research,On Campus,47495,21709,69204,180917,38190338,1754039,36436299
On Campus Salary Total,,"14,942,131","40,663,898","55,606,029",,,,
Off Campus Salary Total,,"130,089","6,711,384","6,841,472",,,,
Interdepartmental Laboratories Totals,,"15,072,220","47,375,282","62,447,501","199,255,296","1,264,972,204","1,086,471,457","178,500,745"
Center for Advan Educational Services,On Campus,0,"24,615","24,615","76,528","1,040,946","1,334,963","-294,017"
Center for Advan Educational Services,Off Campus,0,0,0,0,0,"15,241","-15,241"
Center for Advan Educational Services,Total,0,"24,615","24,615","76,528","1,040,946","1,350,204","-309,258"
Chancellor's Office,On Campus,"28,403","102,167","130,570","314,682","853,540","916,487","-62,947"
Chancellor's Office,Off Campus,0,"19,690","19,690","25,926","286,504","62,220","224,284"
Chancellor's Office,Total,"28,403","121,858","150,260","340,608","1,140,044","978,707","161,337"
Dept of MASDAR,On Campus,"924,997","1,289,859","2,214,856","5,659,394","39,512,145","30,544,453","8,967,692"
Dept of MASDAR,Off Campus,0,"89,022","89,022","117,216","1,085,427","168,329","917,098"
Dept of MASDAR,Total,"924,997","1,378,881","2,303,878","5,776,609","40,597,571","30,712,782","9,884,790"
Dept of MIT-SUTD,On Campus,"369,667","282,432","652,099","1,927,074","8,466,144","6,430,978","2,035,167"
Dept of MIT-SUTD,Off Campus,0,0,0,0,0,0,0
Dept of MIT-SUTD,Total,"369,667","282,432","652,099","1,927,074","8,466,144","6,430,978","2,035,167"
Dept of SKOLKOVO,On Campus,"21,177","20,073","41,250","182,436","2,941,800","215,914","2,725,886"
Edgerton Center,On Campus,"3,653","57,521","61,173","130,553","25,050","156,891","-131,841"
Libraries,On Campus,0,32141,32141,81604,117620,88384,29236
Libraries,Off Campus,,,,,,,
Libraries,Total,0,32141,32141,81604,117620,88384,29236
McGovern Institute for Brain Research,On Campus,"251,731",,,,67167954,57264653,9903301
McGovern Institute for Brain Research,Off Campus,0,0,0,0,0,127457,-127457
McGovern Institute for Brain Research,Total,"251,731",,,,67167954,57392110,9775844
Office Provost Office,On Campus,0,,,,253298,253298,
Teaching and Learning Lab,On Campus,0,21090,21090,54690,200000,54690,145310
On Campus Salary Total,,"1,599,628",6131714,7731340,,,,
Off Campus Salary Total,,-,108712,108712,,,,
Other Departments and Special Labs Totals,,"1,599,628",6240426,7840052,22896765,121951057,97634588,24316471
On Campus Salary Total,,"$57,044,359 ",137023745,194068102,,,,
Off Campus Salary Total,,"$1,153,499 ",13173101,14326598,,,,
Grand Total,,"$58,197,858 ",150196846,208394700,674348350,4107681939,3502060229,605621536
