Department of Humanities,On Campus,"102,375","959,993","1,062,368",,,,
Department of Humanities,Off Campus,-,-,-,,,,
Department of Humanities,Total,"102,375","959,993","1,062,368","2,862,609","12,695,590","11,688,647","1,006,943"
Economics,On Campus,"40,053","282,236","322,288",,,,
Economics,Off Campus,-,"27,400","27,400",,,,
Economics,Total,"40,053","309,636","349,688","1,290,160","6,779,140","4,011,432","2,767,708"
Political Science,On Campus,"69,846","279,790","349,636","1,282,658","4,106,801","2,558,478","1,548,323"
"Program in Science, Technology & Society",On Campus,-,"274,343","274,343","472,016","3,811,629","3,234,088","577,541"
On Campus Salary Total,,"249,620","2,131,375","2,380,995",,,,
Off Campus Salary Total,,-,"27,400","27,400",,,,
"Humanities, Arts, and Social Sciences Totals",,"249,620","2,158,775","2,408,395","6,543,947","29,025,561","22,993,247","6,032,314"
Ctr Comp Res in Econ & Mgt Sci,On Campus,-,"26,270","26,270","64,242","570,228","517,458","52,770"
Internat'l Technol Mgt Researc,On Campus,-,"7,396","7,396","23,396","4,593,498","5,017,768","-424,271"
Profit & TDQM,On Campus,-,-92,-92,-201,"775,619","712,284","63,336"
Program on Pharmaceutical Industry,On Campus,-,-,-,-,"1,225,774","1,225,774",-
Sloan School of Management - Academic,On Campus,"80,252","48,234","128,486","432,910","2,197,187","1,621,872","575,315"
SSM Division of Research,On Campus,"390,330","2,023,008","2,413,338",,,,
SSM Division of Research,Off Campus,-,"2,214","2,214",,,,
SSM Division of Research,Total,"390,330","2,025,222","2,415,552","7,151,878","74,292,615","73,432,871","859,744"
Systems Dynamics Group,On Campus,-,-,-,"2,276","4,217,194","4,238,331","-21,137"
On Campus Salary Total,,"470,582","2,104,817","2,575,399",,,,
Off Campus Salary Total,,-,"2,214","2,214",,,,
Sloan School of Management Totals,,"470,582","2,107,031","2,577,613","7,674,501","87,872,115","86,766,358","1,105,756"
Biology,On Campus,"468,102","4,753,475","5,221,577","21,812,338","88,358,212","68,724,580","19,633,632"
Brain & Cognitive Sciences,On Campus,"131,983","2,708,913","2,840,895",,,,
Brain & Cognitive Sciences,Off Campus,"10,575","1,677","12,252",,,,
Brain & Cognitive Sciences,Total,"142,558","2,710,590","2,853,148","9,364,648","38,697,481","29,794,066","8,903,416"
Center for Global Change Science,On Campus,"420,177","1,222,835","1,643,012",,,,
Center for Global Change Science,Off Campus,"21,385","63,633","85,018",,,,
Center for Global Change Science,Total,"441,562","1,286,469","1,728,030","4,810,099","32,554,079","26,327,786","6,226,294"
Chemistry,On Campus,"2,712,399","2,668,087","5,380,485","22,341,720","94,305,716","81,202,092","13,103,623"
"Earth, Atmospheric & Planetary Sciences",On Campus,"1,316,334","3,093,157","4,409,492",,,,
"Earth, Atmospheric & Planetary Sciences",Off Campus,"30,738","799,668","830,406",,,,
"Earth, Atmospheric & Planetary Sciences",Total,"1,347,072","3,892,825","5,239,897","16,573,806","85,614,031","62,992,398","22,621,633"
Kavli Inst for Astrophysics & Space Rsrh,On Campus,"688,154","5,672,712","6,360,866",,,,
Kavli Inst for Astrophysics & Space Rsrh,Off Campus,-,"513,628","513,628",,,,
Kavli Inst for Astrophysics & Space Rsrh,Total,"688,154","6,186,340","6,874,494","17,320,448","220,972,725","207,928,863","13,043,862"
Koch Institute for Integrative Cancer Research,On Campus,-,976,976,-273,"147,977","147,977",-
Laboratory for Nuclear Science,On Campus,"672,363","4,438,766","5,111,129",,,,
Laboratory for Nuclear Science,Off Campus,"527,590","2,735,317","3,262,907",,,,
Laboratory for Nuclear Science,Total,"1,199,953","7,174,083","8,374,036","23,199,383","289,096,327","285,295,296","3,801,031"
Mathematics,On Campus,"576,994","856,378","1,433,372",,,,
Mathematics,Off Campus,"8,775","413,576","422,351",,,,
Mathematics,Total,"585,769","1,269,954","1,855,723","4,294,441","19,962,681","12,695,197","7,267,485"
Physics,On Campus,"21,672","17,179","38,851",,,,
Physics,Off Campus,"61,958",-,"61,958",,,,
Physics,Total,"83,630","17,179","100,809","172,726","1,374,658","1,356,833","17,825"
Picower Institute for Learning and Memory,On Campus,"269,430","4,053,310","4,322,740","20,776,719","72,257,202","53,058,633","19,198,568"
School of Science,On Campus,"12,040","26,500","38,540","396,993","1,260,022","1,245,047","14,975"
Spectroscopy Lab,On Campus,"117,507","418,344","535,851","1,569,834","12,780,864","11,886,533","894,331"
On Campus Salary Total,,"7,407,154","29,930,632","37,337,786",,,,
Off Campus Salary Total,,"661,021","4,527,498","5,188,520",,,,
School of Science Totals,,"8,068,175","34,458,131","42,526,306","142,632,881","957,381,976","842,655,301","114,726,674"
Ctr for Environmental Health Sciences,On Campus,"205,756","2,513,621","2,719,377",,,,
Ctr for Environmental Health Sciences,Off Campus,"6,809","30,600","37,409",,,,
Ctr for Environmental Health Sciences,Total,"212,566","2,544,221","2,756,786","8,689,328","30,844,187","24,289,183","6,555,004"
Division of Comparative Medicine,On Campus,"9,940","316,368","326,308","1,280,987","9,711,952","8,495,902","1,216,050"
Harvard-MIT Health Science & Tech,On Campus,"497,139","2,426,318","2,923,457",,,,
Harvard-MIT Health Science & Tech,Off Campus,"191,118","22,758","213,876",,,,
Harvard-MIT Health Science & Tech,Total,"688,257","2,449,076","3,137,332","12,847,006","54,392,459","47,745,454","6,647,004"
On Campus Salary Total,,"712,835","5,256,307","5,969,142",,,,
Off Campus Salary Total,,"197,927","53,357","251,285",,,,
Whitaker College Totals,,"910,762","5,309,664","6,220,426","22,817,322","94,948,597","80,530,540","14,418,058"
Ctr for Biomedical Engineering,On Campus,"383,554","1,007,352","1,390,906",,,,
Ctr for Biomedical Engineering,Off Campus,"11,295","25,775","37,070",,,,
Ctr for Biomedical Engineering,Total,"394,849","1,033,127","1,427,976","5,778,134","29,428,764","25,899,738","3,529,026"
Center for Materials Science & Eng,On Campus,"413,344","577,649","990,993","3,631,409","6,606,651","5,493,864","1,112,787"
Earth System Initiative,On Campus,"873,012","2,242,851","3,115,863",,,,
Earth System Initiative,Off Campus,"8,137","121,011","129,148",,,,
Earth System Initiative,Total,"881,149","2,363,862","3,245,011","10,084,602","45,063,768","38,593,366","6,470,401"
Francis Bitter Magnet Laboratory,On Campus,"421,163","1,763,966","2,185,129",,,,
Francis Bitter Magnet Laboratory,Off Campus,"11,250","1,375","12,625",,,,
Francis Bitter Magnet Laboratory,Total,"432,413","1,765,341","2,197,754","7,468,853","41,342,098","34,052,994","7,289,104"
Haystack Observatory,On Campus,-,"11,947","11,947",,,,
Haystack Observatory,Off Campus,-,"5,398,145","5,398,145",,,,
Haystack Observatory,Total,-,"5,410,092","5,410,092","11,247,319","34,731,622","29,682,573","5,049,049"
Institute for Soldier Nanotechnologies,On Campus,"1,455,245","2,171,859","3,627,104",,,,
Institute for Soldier Nanotechnologies,Off Campus,"6,646","30,320","36,966",,,,
Institute for Soldier Nanotechnologies,Total,"1,461,891","2,202,179","3,664,070","13,317,143","109,205,519","98,920,050","10,285,469"
Koch Institute for Integrative Cancer Research,On Campus,"934,781","5,809,428","6,744,209",,,,
Koch Institute for Integrative Cancer Research,Off Campus,"25,850","1,794","27,644",,,,
Koch Institute for Integrative Cancer Research,Total,"960,631","5,811,222","6,771,853","29,881,031","88,195,988","67,397,221","20,798,767"
MIT Energy Initiative,On Campus,"2,587,595","5,617,149","8,204,744",,,,
MIT Energy Initiative,Off Campus,"3,147","61,536","64,683",,,,
MIT Energy Initiative,Total,"2,590,742","5,678,686","8,269,427","24,089,638","76,042,905","53,547,750","22,495,156"
Nuclear Reactor Laboratory,On Campus,"54,963","285,413","340,376","956,055","9,633,482","8,559,346","1,074,137"
Operations Research Center,On Campus,"400,487","198,870","599,357","1,639,320","9,951,383","8,199,984","1,751,399"
Plasma Science & Fusion Center,On Campus,"1,307,112","9,882,342","11,189,454",,,,
Plasma Science & Fusion Center,Off Campus,"45,692","551,120","596,812",,,,
Plasma Science & Fusion Center,Total,"1,352,804","10,433,462","11,786,267","33,076,274","391,931,872","371,024,232","20,907,641"
Research Lab of Electronics,On Campus,"3,825,340","5,565,183","9,390,524",,,,
Research Lab of Electronics,Off Campus,"29,469","304,865","334,333",,,,
Research Lab of Electronics,Total,"3,854,809","5,870,048","9,724,857","35,015,758","179,582,706","139,723,414","39,859,292"
Sea Grant College Program,On Campus,"334,820","1,406,195","1,741,015",,,,
Sea Grant College Program,Off Campus,-,"172,526","172,526",,,,
Sea Grant College Program,Total,"334,820","1,578,721","1,913,541","5,323,016","23,452,167","18,845,521","4,606,646"
Technology & Development Program,On Campus,"540,971","1,125,250","1,666,221",,,,
Technology & Development Program,Off Campus,-,"1,111","1,111",,,,
Technology & Development Program,Total,"540,971","1,126,361","1,667,332","7,027,566","30,993,902","16,699,734","14,294,168"
The Broad Institute,On Campus,-,"-30,145","-30,145","12,189,623","372,834,500","355,710,584","17,123,916"
The Center for Biomedical Innovation,On Campus,-,"19,842","19,842","39,086","2,052,335","176,601","1,875,734"
VP for Research,On Campus,"21,729","37,496","59,225","193,893","6,172,368","1,226,652","4,945,716"
On Campus Salary Total,,"13,554,116","37,692,649","51,246,764",,,,
Off Campus Salary Total,,"141,485","6,669,578","6,811,063",,,,
Interdepartmental Laboratories Totals,,"13,695,601","44,362,227","58,057,827","200,958,720","1,457,222,031","1,273,753,624","183,468,407"
Center for Advan Educational Services,On Campus,-,"110,672","110,672",,,,
Center for Advan Educational Services,Off Campus,-,"1,570","1,570",,,,
Center for Advan Educational Services,Total,-,"112,242","112,242","558,799","2,636,454","2,467,443","169,012"
Chancellor's Office,On Campus,-,-,-,33,"202,063",33,"202,030"
Dept of MIT-SUTD,On Campus,"23,688","49,019","72,707","178,972","2,620,549","178,972","2,441,577"
Edgerton Center,On Campus,-,"22,602","22,602","80,539","96,720","80,539","16,181"
Libraries,On Campus,-,"34,220","34,220","73,794","1,546,357","1,514,315","32,042"
McGovern Institute for Brain Research,On Campus,"248,797","3,161,466","3,410,263","14,563,994","52,245,390","40,839,480","11,405,910"
Provost Office,On Campus,-,-,-,-,"399,371","399,371",-
On Campus Salary Total,,"272,485","3,377,978","3,650,463",,,,
Off Campus Salary Total,,-,"1,570","1,570",,,,
Other Departments and Special Labs Totals,,"272,485","3,379,548","3,652,033","15,456,130","59,746,904","45,480,152","14,266,752"
On Campus Salary Total,,"49,838,022","121,072,845","170,910,865",,,,
Off Campus Salary Total,,"1,403,088","12,448,512","13,851,602",,,,
Grand Total,,"51,241,109","133,521,357","184,762,467","626,560,519","3,978,902,521","3,412,057,235","566,845,286"
